Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
1.07887e-05,0.0582531,0.0582104,0.0579809,0.0428317,4.69537e-07,4.63305e-10,4.8774e-16,5.89537e-07,4.68799e-07,1.20051e-09,3.27307e-15,1.5288e-06,4.64843e-07,5.15674e-09,6.0688e-14,6.59484e-06,2.03743e-07,2.65988e-07,2.69373e-10,0.000499734
1.30905e-05,0.0582474,0.0581955,0.0579175,0.0408999,4.69438e-07,5.62046e-10,7.17893e-16,5.89438e-07,4.68544e-07,1.45612e-09,4.81701e-15,1.52854e-06,4.63751e-07,6.24907e-09,8.92615e-14,6.59375e-06,1.70472e-07,2.99151e-07,3.76821e-10,0.0004997
1.34094e-05,0.0582466,0.0581935,0.0579088,0.0406584,4.69424e-07,5.7572e-10,7.53265e-16,5.89424e-07,4.68508e-07,1.49151e-09,5.05428e-15,1.52851e-06,4.636e-07,6.40016e-09,9.36504e-14,6.5936e-06,1.66314e-07,3.03293e-07,3.92659e-10,0.000499696
1.37282e-05,0.0582458,0.0581914,0.0579,0.0404227,4.69411e-07,5.89394e-10,7.89486e-16,5.89411e-07,4.68473e-07,1.5269e-09,5.29724e-15,1.52847e-06,4.63449e-07,6.5512e-09,9.81439e-14,6.59345e-06,1.62257e-07,3.07334e-07,4.08712e-10,0.000499692
1.40471e-05,0.058245,0.0581894,0.0578913,0.0401929,4.69397e-07,6.03067e-10,8.26557e-16,5.89397e-07,4.68438e-07,1.56228e-09,5.54588e-15,1.52844e-06,4.63298e-07,6.70218e-09,1.02742e-13,6.5933e-06,1.58299e-07,3.11276e-07,4.24974e-10,0.000499688
1.43659e-05,0.0582442,0.0581873,0.0578825,0.0399686,4.69383e-07,6.16739e-10,8.64477e-16,5.89383e-07,4.68402e-07,1.59767e-09,5.80022e-15,1.5284e-06,4.63147e-07,6.85311e-09,1.07445e-13,6.59315e-06,1.54438e-07,3.15121e-07,4.41442e-10,0.000499684
1.46847e-05,0.0582434,0.0581853,0.0578738,0.0397498,4.6937e-07,6.30411e-10,9.03246e-16,5.8937e-07,4.68367e-07,1.63305e-09,6.06025e-15,1.52837e-06,4.62996e-07,7.00399e-09,1.12253e-13,6.593e-06,1.50671e-07,3.18871e-07,4.58108e-10,0.000499681
1.50036e-05,0.0582426,0.0581832,0.057865,0.0395363,4.69356e-07,6.44082e-10,9.42864e-16,5.89356e-07,4.68332e-07,1.66842e-09,6.32597e-15,1.52833e-06,4.62845e-07,7.15482e-09,1.17165e-13,6.59285e-06,1.46996e-07,3.22529e-07,4.7497e-10,0.000499677
1.56413e-05,0.0582411,0.0581791,0.0578475,0.0391247,4.69329e-07,6.71421e-10,1.02465e-15,5.89329e-07,4.68261e-07,1.73916e-09,6.87446e-15,1.52826e-06,4.62544e-07,7.45631e-09,1.27302e-13,6.59254e-06,1.39912e-07,3.29578e-07,5.09257e-10,0.00049967
1.6279e-05,0.0582395,0.058175,0.05783,0.038733,4.69301e-07,6.98758e-10,1.10983e-15,5.89301e-07,4.6819e-07,1.80988e-09,7.4457e-15,1.52819e-06,4.62242e-07,7.75759e-09,1.37858e-13,6.59224e-06,1.3317e-07,3.36285e-07,5.44267e-10,0.000499663
