Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
0.00165574,0.0546467,0.0498025,0.0363329,0.02879,4.0736e-07,6.26305e-08,9.7913e-12,5.2736e-07,3.23858e-07,1.4608e-07,6.15759e-11,1.38386e-06,9.18877e-08,3.77285e-07,8.2735e-10,6.22189e-06,4.64001e-14,3.58498e-07,1.11502e-07,0.00049953
0.0016666,0.0546257,0.0497588,0.0362772,0.0287771,4.06998e-07,6.29918e-08,9.91034e-12,5.26998e-07,3.23105e-07,1.46833e-07,6.2303e-11,1.3831e-06,9.09302e-08,3.78234e-07,8.35777e-10,6.22093e-06,4.6317e-14,3.57856e-07,1.12144e-07,0.00049953
0.00167746,0.0546048,0.0497152,0.0362221,0.0287643,4.06637e-07,6.33525e-08,1.003e-11,5.26637e-07,3.22353e-07,1.47584e-07,6.30335e-11,1.38235e-06,8.99829e-08,3.79173e-07,8.44223e-10,6.21998e-06,4.62342e-14,3.57216e-07,1.12784e-07,0.00049953
0.00168832,0.0545839,0.0496718,0.0361676,0.0287515,4.06277e-07,6.37126e-08,1.01502e-11,5.26277e-07,3.21604e-07,1.48332e-07,6.37673e-11,1.3816e-06,8.90456e-08,3.80102e-07,8.52689e-10,6.21905e-06,4.61515e-14,3.56577e-07,1.13423e-07,0.00049953
0.00172707,0.0545096,0.0495177,0.0359777,0.0287061,4.04997e-07,6.49927e-08,1.0584e-11,5.24997e-07,3.18949e-07,1.50984e-07,6.64116e-11,1.37895e-06,8.5782e-08,3.83335e-07,8.83045e-10,6.21578e-06,4.58576e-14,3.54306e-07,1.15693e-07,0.00049953
0.00176582,0.0544357,0.0493652,0.0357948,0.028661,4.03723e-07,6.62657e-08,1.10253e-11,5.23723e-07,3.16321e-07,1.5361e-07,6.90973e-11,1.37632e-06,8.26396e-08,3.86447e-07,9.13636e-10,6.21264e-06,4.55652e-14,3.52051e-07,1.17949e-07,0.00049953
0.00177551,0.0544173,0.0493274,0.0357502,0.0286498,4.03406e-07,6.65828e-08,1.11368e-11,5.23406e-07,3.15668e-07,1.54262e-07,6.97752e-11,1.37567e-06,8.18724e-08,3.87206e-07,9.2132e-10,6.21187e-06,4.54925e-14,3.51489e-07,1.18511e-07,0.00049953
0.00178519,0.0543989,0.0492896,0.0357059,0.0286386,4.03089e-07,6.68995e-08,1.12488e-11,5.23089e-07,3.15017e-07,1.54912e-07,7.04556e-11,1.37502e-06,8.11124e-08,3.87959e-07,9.29018e-10,6.21111e-06,4.54202e-14,3.50928e-07,1.19072e-07,0.00049953
0.00179488,0.0543806,0.0492519,0.0356621,0.0286274,4.02773e-07,6.72158e-08,1.13612e-11,5.22773e-07,3.14368e-07,1.55561e-07,7.11385e-11,1.37437e-06,8.03596e-08,3.88704e-07,9.36729e-10,6.21036e-06,4.53479e-14,3.50368e-07,1.19632e-07,0.00049953
0.00180457,0.0543623,0.0492143,0.0356187,0.0286162,4.02457e-07,6.75316e-08,1.14741e-11,5.22457e-07,3.1372e-07,1.56208e-07,7.1824e-11,1.37372e-06,7.96138e-08,3.89442e-07,9.44455e-10,6.20961e-06,4.52755e-14,3.49809e-07,1.20191e-07,0.00049953
0.00181199,0.0543482,0.0491856,0.0355857,0.0286076,4.02215e-07,6.77734e-08,1.15609e-11,5.22215e-07,3.13224e-07,1.56704e-07,7.23512e-11,1.37322e-06,7.90468e-08,3.90003e-07,9.50387e-10,6.20905e-06,4.52201e-14,3.49381e-07,1.20619e-07,0.00049953
0.00181942,0.0543342,0.0491569,0.0355529,0.0285991,4.01973e-07,6.8015e-08,1.1648e-11,5.21973e-07,3.1273e-07,1.57198e-07,7.28799e-11,1.37273e-06,7.8484e-08,3.9056e-07,9.56327e-10,6.20848e-06,4.51648e-14,3.48954e-07,1.21046e-07,0.00049953
0.00182685,0.0543202,0.0491282,0.0355204,0.0285905,4.01732e-07,6.82563e-08,1.17354e-11,5.21732e-07,3.12236e-07,1.57691e-07,7.341e-11,1.37224e-06,7.79251e-08,3.91113e-07,9.62274e-10,6.20793e-06,4.51095e-14,3.48527e-07,1.21473e-07,0.00049953
0.00184595,0.0542843,0.0490548,0.0354378,0.0285686,4.01112e-07,6.88759e-08,1.19615e-11,5.21112e-07,3.1097e-07,1.58955e-07,7.47808e-11,1.37097e-06,7.65057e-08,3.92517e-07,9.77613e-10,6.20651e-06,4.49677e-14,3.47431e-07,1.22569e-07,0.00049953
0.00186506,0.0542484,0.0489817,0.0353567,0.0285468,4.00494e-07,6.94939e-08,1.21894e-11,5.20494e-07,3.09711e-07,1.60213e-07,7.61612e-11,1.36971e-06,7.51125e-08,3.93895e-07,9.93003e-10,6.20511e-06,4.48262e-14,3.46338e-07,1.23662e-07,0.00049953
0.00188417,0.0542126,0.048909,0.035277,0.028525,3.99877e-07,7.01102e-08,1.2419e-11,5.19877e-07,3.08457e-07,1.61465e-07,7.75512e-11,1.36846e-06,7.37449e-08,3.95247e-07,1.00844e-09,6.20374e-06,4.46852e-14,3.45249e-07,1.24751e-07,0.00049953
0.00193439,0.0541191,0.0487196,0.0350746,0.0284681,3.98265e-07,7.1722e-08,1.30308e-11,5.18265e-07,3.05193e-07,1.64726e-07,8.125e-11,1.36519e-06,7.02695e-08,3.98681e-07,1.04926e-09,6.20027e-06,4.43176e-14,3.42402e-07,1.27597e-07,0.00049953
0.00194695,0.0540958,0.0486726,0.0350256,0.0284539,3.97864e-07,7.21232e-08,1.31857e-11,5.17864e-07,3.04383e-07,1.65534e-07,8.21848e-11,1.36438e-06,6.94268e-08,3.99514e-07,1.05951e-09,6.19943e-06,4.4226e-14,3.41695e-07,1.28305e-07,0.00049953
0.0019595,0.0540726,0.0486258,0.0349771,0.0284398,3.97463e-07,7.25237e-08,1.33413e-11,5.17463e-07,3.03577e-07,1.6634e-07,8.31236e-11,1.36358e-06,6.85943e-08,4.00336e-07,1.06979e-09,6.19859e-06,4.4134e-14,3.40988e-07,1.29012e-07,0.00049953
0.00197206,0.0540494,0.0485791,0.0349292,0.0284257,3.97063e-07,7.29234e-08,1.34976e-11,5.17063e-07,3.02772e-07,1.67144e-07,8.40664e-11,1.36277e-06,6.77719e-08,4.01148e-07,1.08008e-09,6.19777e-06,4.40424e-14,3.40283e-07,1.29717e-07,0.00049953
0.00198461,0.0540262,0.0485326,0.0348818,0.0284116,3.96664e-07,7.33224e-08,1.36546e-11,5.16664e-07,3.01971e-07,1.67944e-07,8.50132e-11,1.36197e-06,6.69595e-08,4.0195e-07,1.09039e-09,6.19696e-06,4.39516e-14,3.39579e-07,1.30421e-07,0.00049953
0.00199204,0.0540126,0.0485052,0.0348541,0.0284033,3.96428e-07,7.35581e-08,1.37479e-11,5.16428e-07,3.01498e-07,1.68417e-07,8.5575e-11,1.3615e-06,6.64836e-08,4.0242e-07,1.0965e-09,6.19648e-06,4.38979e-14,3.39164e-07,1.30836e-07,0.00049953
0.00199946,0.0539989,0.0484778,0.0348266,0.028395,3.96193e-07,7.37935e-08,1.38414e-11,5.16193e-07,3.01026e-07,1.68888e-07,8.61382e-11,1.36103e-06,6.60112e-08,4.02886e-07,1.10262e-09,6.19601e-06,4.38441e-14,3.38749e-07,1.31251e-07,0.00049953
0.00200689,0.0539853,0.0484504,0.0347993,0.0283867,3.95957e-07,7.40287e-08,1.39351e-11,5.15957e-07,3.00555e-07,1.69359e-07,8.67028e-11,1.36055e-06,6.55422e-08,4.03349e-07,1.10874e-09,6.19554e-06,4.37904e-14,3.38335e-07,1.31665e-07,0.00049953
0.00201431,0.0539716,0.0484232,0.0347721,0.0283784,3.95722e-07,7.42635e-08,1.40291e-11,5.15722e-07,3.00084e-07,1.69828e-07,8.72687e-11,1.36008e-06,6.50766e-08,4.03809e-07,1.11487e-09,6.19508e-06,4.37369e-14,3.37921e-07,1.32079e-07,0.00049953
0.00202174,0.053958,0.0483959,0.0347452,0.0283702,3.95488e-07,7.44982e-08,1.41233e-11,5.15488e-07,2.99615e-07,1.70297e-07,8.78359e-11,1.35962e-06,6.46143e-08,4.04265e-07,1.121e-09,6.19461e-06,4.36834e-14,3.37508e-07,1.32492e-07,0.00049953
0.00202916,0.0539444,0.0483688,0.0347185,0.0283619,3.95253e-07,7.47326e-08,1.42178e-11,5.15253e-07,2.99147e-07,1.70765e-07,8.84045e-11,1.35915e-06,6.41554e-08,4.04717e-07,1.12714e-09,6.19416e-06,4.36299e-14,3.37095e-07,1.32905e-07,0.00049953
0.00205649,0.0538945,0.0482692,0.0346217,0.0283316,3.94392e-07,7.55932e-08,1.45678e-11,5.14392e-07,2.97431e-07,1.72479e-07,9.0509e-11,1.35743e-06,6.24944e-08,4.06356e-07,1.1498e-09,6.19249e-06,4.34338e-14,3.3558e-07,1.3442e-07,0.00049953
0.00208382,0.0538447,0.0481703,0.0345274,0.0283014,3.93535e-07,7.64504e-08,1.49212e-11,5.13535e-07,2.95727e-07,1.74181e-07,9.26318e-11,1.35573e-06,6.08769e-08,4.07951e-07,1.17254e-09,6.19088e-06,4.32385e-14,3.34071e-07,1.35929e-07,0.00049953
0.00211114,0.0537952,0.0480721,0.0344356,0.0282714,3.9268e-07,7.73044e-08,1.52779e-11,5.1268e-07,2.94035e-07,1.75871e-07,9.47727e-11,1.35403e-06,5.93016e-08,4.09503e-07,1.19536e-09,6.1893e-06,4.30441e-14,3.3257e-07,1.3743e-07,0.00049953
0.00214892,0.053727,0.0479375,0.0343126,0.0282301,3.91505e-07,7.84794e-08,1.57766e-11,5.11505e-07,2.91715e-07,1.78187e-07,9.77614e-11,1.35171e-06,5.71917e-08,4.11581e-07,1.22703e-09,6.18719e-06,4.2777e-14,3.30506e-07,1.39494e-07,0.00049953
0.00218669,0.0536591,0.0478042,0.034194,0.0281891,3.90335e-07,7.96483e-08,1.62816e-11,5.10335e-07,2.89417e-07,1.80482e-07,1.00784e-10,1.34942e-06,5.51575e-08,4.13584e-07,1.25886e-09,6.18516e-06,4.25115e-14,3.28454e-07,1.41546e-07,0.00049953
0.00222446,0.0535917,0.0476721,0.0340796,0.0281483,3.89172e-07,8.0811e-08,1.6793e-11,5.09172e-07,2.87142e-07,1.82754e-07,1.0384e-10,1.34714e-06,5.31963e-08,4.15513e-07,1.29082e-09,6.1832e-06,4.22477e-14,3.26415e-07,1.43585e-07,0.00049953
0.00226224,0.0535245,0.0475414,0.0339693,0.0281078,3.88015e-07,8.19675e-08,1.73105e-11,5.08015e-07,2.84888e-07,1.85005e-07,1.06928e-10,1.34489e-06,5.13054e-08,4.17372e-07,1.32292e-09,6.18131e-06,4.19854e-14,3.24389e-07,1.45611e-07,0.00049953
0.00231983,0.0534229,0.0473443,0.0338086,0.0280465,3.86262e-07,8.37195e-08,1.81114e-11,5.06262e-07,2.81492e-07,1.88396e-07,1.117e-10,1.34149e-06,4.85517e-08,4.20076e-07,1.37212e-09,6.17855e-06,4.15887e-14,3.21324e-07,1.48676e-07,0.00049953
0.00237743,0.053322,0.0471501,0.0336565,0.0279857,3.84524e-07,8.54575e-08,1.89264e-11,5.04524e-07,2.78145e-07,1.91738e-07,1.16546e-10,1.33815e-06,4.59469e-08,4.22631e-07,1.4216e-09,6.17595e-06,4.11957e-14,3.18287e-07,1.51713e-07,0.00049953
0.00243503,0.0532219,0.0469587,0.0335126,0.0279256,3.82799e-07,8.71817e-08,1.97553e-11,5.02799e-07,2.74846e-07,1.95032e-07,1.21464e-10,1.33485e-06,4.34828e-08,4.25046e-07,1.47136e-09,6.17348e-06,4.08065e-14,3.15279e-07,1.54721e-07,0.00049953
0.00249263,0.0531226,0.04677,0.0333764,0.027866,3.81087e-07,8.88924e-08,2.05977e-11,5.01087e-07,2.71594e-07,1.98279e-07,1.26454e-10,1.33159e-06,4.11518e-08,4.27327e-07,1.52137e-09,6.17115e-06,4.04208e-14,3.123e-07,1.577e-07,0.00049953
0.00255022,0.0530241,0.0465839,0.0332475,0.027807,3.79389e-07,9.05896e-08,2.14536e-11,4.99389e-07,2.68389e-07,2.0148e-07,1.31512e-10,1.32839e-06,3.89465e-08,4.29482e-07,1.57163e-09,6.16895e-06,4.00387e-14,3.09349e-07,1.60651e-07,0.00049953
0.00261413,0.0529157,0.0463806,0.0331125,0.0277422,3.77521e-07,9.2457e-08,2.24185e-11,4.97521e-07,2.64885e-07,2.04977e-07,1.37204e-10,1.32489e-06,3.66387e-08,4.31734e-07,1.62765e-09,6.16664e-06,3.96192e-14,3.06107e-07,1.63893e-07,0.00049953
0.00267803,0.0528083,0.0461805,0.0329855,0.027678,3.75668e-07,9.43083e-08,2.33994e-11,4.95668e-07,2.61437e-07,2.0842e-07,1.42978e-10,1.32144e-06,3.44685e-08,4.33848e-07,1.68394e-09,6.16447e-06,3.92042e-14,3.029e-07,1.671e-07,0.00049953
0.00274193,0.0527018,0.0459834,0.032866,0.0276145,3.73832e-07,9.61436e-08,2.4396e-11,4.93832e-07,2.58042e-07,2.11809e-07,1.48832e-10,1.31804e-06,3.24275e-08,4.35832e-07,1.74047e-09,6.16243e-06,3.87934e-14,2.99726e-07,1.70274e-07,0.00049953
0.00280583,0.0525961,0.0457895,0.0327535,0.0275517,3.72011e-07,9.79633e-08,2.54079e-11,4.92011e-07,2.54699e-07,2.15146e-07,1.54765e-10,1.3147e-06,3.0508e-08,4.37695e-07,1.79723e-09,6.16051e-06,3.83866e-14,2.96585e-07,1.73415e-07,0.00049953
0.00286973,0.0524914,0.0455985,0.0326477,0.0274896,3.70206e-07,9.97673e-08,2.64349e-11,4.90206e-07,2.51408e-07,2.18431e-07,1.60775e-10,1.31141e-06,2.87026e-08,4.39443e-07,1.85421e-09,6.1587e-06,3.79844e-14,2.93477e-07,1.76523e-07,0.00049953
0.00294049,0.0523765,0.0453904,0.0325377,0.0274215,3.68225e-07,1.01747e-07,2.75894e-11,4.88225e-07,2.47823e-07,2.22009e-07,1.67517e-10,1.30782e-06,2.68285e-08,4.41254e-07,1.91754e-09,6.15683e-06,3.75442e-14,2.90074e-07,1.79926e-07,0.00049953
0.00301125,0.0522627,0.0451859,0.0324349,0.0273542,3.66263e-07,1.03708e-07,2.87618e-11,4.86263e-07,2.44299e-07,2.25527e-07,1.74349e-10,1.3043e-06,2.50773e-08,4.42942e-07,1.98111e-09,6.15508e-06,3.71088e-14,2.8671e-07,1.83289e-07,0.00049953
0.003082,0.0521499,0.0449847,0.0323387,0.0272877,3.64319e-07,1.05651e-07,2.99517e-11,4.84319e-07,2.40834e-07,2.28985e-07,1.81269e-10,1.30083e-06,2.34408e-08,4.44514e-07,2.04489e-09,6.15344e-06,3.66782e-14,2.83386e-07,1.86614e-07,0.00049953
0.00315276,0.0520382,0.044787,0.0322487,0.027222,3.62393e-07,1.07576e-07,3.11588e-11,4.82393e-07,2.37427e-07,2.32385e-07,1.88275e-10,1.29743e-06,2.19115e-08,4.4598e-07,2.10887e-09,6.15191e-06,3.6253e-14,2.801e-07,1.899e-07,0.00049953
0.00322352,0.0519274,0.0445926,0.0321645,0.027157,3.60484e-07,1.09483e-07,3.23826e-11,4.80484e-07,2.34077e-07,2.35728e-07,1.95365e-10,1.29408e-06,2.04824e-08,4.47345e-07,2.17304e-09,6.15048e-06,3.58328e-14,2.76851e-07,1.93149e-07,0.00049953
0.00329427,0.0518178,0.0444013,0.0320858,0.0270928,3.58594e-07,1.11373e-07,3.3623e-11,4.78594e-07,2.30783e-07,2.39015e-07,2.02537e-10,1.29078e-06,1.91468e-08,4.48616e-07,2.23739e-09,6.14915e-06,3.54171e-14,2.73641e-07,1.96359e-07,0.00049953
0.00336503,0.0517091,0.0442133,0.0320121,0.0270294,3.5672e-07,1.13245e-07,3.48796e-11,4.7672e-07,2.27543e-07,2.42247e-07,2.09789e-10,1.28754e-06,1.78985e-08,4.498e-07,2.3019e-09,6.1479e-06,3.50063e-14,2.70468e-07,1.99532e-07,0.00049953
0.00343579,0.0516014,0.0440283,0.0319431,0.0269666,3.54863e-07,1.151e-07,3.61521e-11,4.74863e-07,2.24356e-07,2.45426e-07,2.17119e-10,1.28436e-06,1.67319e-08,4.50902e-07,2.36655e-09,6.14673e-06,3.46005e-14,2.67331e-07,2.02669e-07,0.00049953
0.00350655,0.0514946,0.0438464,0.0318786,0.0269046,3.53024e-07,1.16939e-07,3.74401e-11,4.73024e-07,2.21222e-07,2.48553e-07,2.24526e-10,1.28122e-06,1.56415e-08,4.51927e-07,2.43135e-09,6.14564e-06,3.41994e-14,2.64231e-07,2.05769e-07,0.00049953
0.0035773,0.0513889,0.0436674,0.0318182,0.0268433,3.51201e-07,1.18761e-07,3.87434e-11,4.71201e-07,2.18139e-07,2.51629e-07,2.32008e-10,1.27814e-06,1.46224e-08,4.52881e-07,2.49629e-09,6.14462e-06,3.38026e-14,2.61167e-07,2.08833e-07,0.00049953
0.00364806,0.0512841,0.0434914,0.0317616,0.0267828,3.49394e-07,1.20566e-07,4.00617e-11,4.69394e-07,2.15107e-07,2.54654e-07,2.39563e-10,1.27511e-06,1.36698e-08,4.53769e-07,2.56134e-09,6.14367e-06,3.34106e-14,2.58139e-07,2.11861e-07,0.00049953
0.00371882,0.0511802,0.0433182,0.0317087,0.0267229,3.47603e-07,1.22355e-07,4.13947e-11,4.67603e-07,2.12123e-07,2.5763e-07,2.47189e-10,1.27212e-06,1.27795e-08,4.54594e-07,2.6265e-09,6.14278e-06,3.30233e-14,2.55145e-07,2.14855e-07,0.00049953
0.00378957,0.0510772,0.0431478,0.0316591,0.0266637,3.45829e-07,1.24128e-07,4.27422e-11,4.65829e-07,2.09188e-07,2.60557e-07,2.54886e-10,1.26919e-06,1.19472e-08,4.55361e-07,2.69178e-09,6.14195e-06,3.26403e-14,2.52187e-07,2.17813e-07,0.00049953
0.00386033,0.0509752,0.0429801,0.0316127,0.0266052,3.4407e-07,1.25886e-07,4.41037e-11,4.6407e-07,2.063e-07,2.63438e-07,2.6265e-10,1.2663e-06,1.11693e-08,4.56074e-07,2.75714e-09,6.14117e-06,3.22618e-14,2.49262e-07,2.20738e-07,0.00049953
0.00394094,0.05086,0.0427924,0.0315634,0.0265394,3.42085e-07,1.27869e-07,4.56717e-11,4.62085e-07,2.03066e-07,2.66663e-07,2.71577e-10,1.26307e-06,1.03448e-08,4.56823e-07,2.83172e-09,6.14034e-06,3.1836e-14,2.45972e-07,2.24028e-07,0.00049953
0.00402154,0.050746,0.042608,0.0315176,0.0264745,3.4012e-07,1.29832e-07,4.72572e-11,4.6012e-07,1.99891e-07,2.69829e-07,2.80589e-10,1.25989e-06,9.58129e-09,4.57512e-07,2.9064e-09,6.13958e-06,3.14158e-14,2.42726e-07,2.27274e-07,0.00049953
0.00410214,0.0506332,0.042427,0.0314751,0.0264104,3.38175e-07,1.31776e-07,4.886e-11,4.58175e-07,1.96773e-07,2.72937e-07,2.89684e-10,1.25677e-06,8.87423e-09,4.58145e-07,2.98118e-09,6.13887e-06,3.10011e-14,2.39522e-07,2.30478e-07,0.00049953
0.00418275,0.0505214,0.0422493,0.0314356,0.0263472,3.36249e-07,1.33701e-07,5.04797e-11,4.56249e-07,1.93711e-07,2.7599e-07,2.98859e-10,1.25371e-06,8.21944e-09,4.58725e-07,3.05606e-09,6.13822e-06,3.05919e-14,2.3636e-07,2.3364e-07,0.00049953
0.00426335,0.0504108,0.0420747,0.0313989,0.0262848,3.34342e-07,1.35606e-07,5.21158e-11,4.54342e-07,1.90705e-07,2.78987e-07,3.08113e-10,1.2507e-06,7.61305e-09,4.59256e-07,3.13101e-09,6.13761e-06,3.01881e-14,2.3324e-07,2.3676e-07,0.00049953
0.00434396,0.0503012,0.0419032,0.0313649,0.0262232,3.32453e-07,1.37493e-07,5.37681e-11,4.52453e-07,1.87752e-07,2.81931e-07,3.17443e-10,1.24775e-06,7.05147e-09,4.59742e-07,3.20604e-09,6.13705e-06,2.97897e-14,2.30162e-07,2.39838e-07,0.00049953
0.00444829,0.050161,0.0416858,0.0313243,0.0261447,3.30036e-07,1.39908e-07,5.59304e-11,4.50036e-07,1.84007e-07,2.85664e-07,3.29632e-10,1.24401e-06,6.38571e-09,4.60311e-07,3.30327e-09,6.13639e-06,2.92817e-14,2.26237e-07,2.43763e-07,0.00049953
0.00455263,0.0500225,0.0414733,0.0312874,0.0260676,3.27649e-07,1.42293e-07,5.81184e-11,4.47649e-07,1.80347e-07,2.89311e-07,3.41943e-10,1.24035e-06,5.78291e-09,4.60816e-07,3.4006e-09,6.13578e-06,2.87824e-14,2.22379e-07,2.47621e-07,0.00049953
0.00465697,0.0498857,0.0412656,0.0312538,0.0259917,3.25292e-07,1.44648e-07,6.03314e-11,4.45292e-07,1.76771e-07,2.92874e-07,3.54373e-10,1.23677e-06,5.2371e-09,4.61265e-07,3.49802e-09,6.13524e-06,2.82915e-14,2.18587e-07,2.51413e-07,0.00049953
0.00476131,0.0497507,0.0410627,0.0312232,0.0259172,3.22964e-07,1.46973e-07,6.25687e-11,4.42964e-07,1.73276e-07,2.96357e-07,3.66916e-10,1.23328e-06,4.74289e-09,4.61662e-07,3.59553e-09,6.13474e-06,2.78091e-14,2.1486e-07,2.5514e-07,0.00049953
0.00486565,0.0496173,0.0408642,0.0311953,0.0258439,3.20665e-07,1.4927e-07,6.48297e-11,4.40665e-07,1.69859e-07,2.99761e-07,3.79571e-10,1.22986e-06,4.2954e-09,4.62011e-07,3.6931e-09,6.1343e-06,2.73349e-14,2.11196e-07,2.58804e-07,0.00049953
0.00496999,0.0494855,0.0406702,0.0311698,0.0257719,3.18394e-07,1.51539e-07,6.71138e-11,4.38394e-07,1.66519e-07,3.03089e-07,3.92334e-10,1.22652e-06,3.8902e-09,4.62319e-07,3.79074e-09,6.13389e-06,2.68688e-14,2.07594e-07,2.62406e-07,0.00049953
0.00509119,0.0493344,0.0404503,0.031143,0.0256898,3.1579e-07,1.5414e-07,6.9795e-11,4.3579e-07,1.62732e-07,3.06861e-07,4.07291e-10,1.22273e-06,3.46732e-09,4.62628e-07,3.90423e-09,6.13347e-06,2.63373e-14,2.03488e-07,2.66512e-07,0.00049953
0.00521239,0.0491855,0.040236,0.0311189,0.0256093,3.13223e-07,1.56704e-07,7.25055e-11,4.33223e-07,1.59042e-07,3.10535e-07,4.22384e-10,1.21904e-06,3.0905e-09,4.62892e-07,4.01777e-09,6.13309e-06,2.58163e-14,1.99462e-07,2.70537e-07,0.00049953
0.00533359,0.0490386,0.0400272,0.0310971,0.0255303,3.10692e-07,1.59233e-07,7.52443e-11,4.30692e-07,1.55447e-07,3.14115e-07,4.37609e-10,1.21545e-06,2.7547e-09,4.63114e-07,4.13138e-09,6.13275e-06,2.53056e-14,1.95517e-07,2.74483e-07,0.00049953
0.0054548,0.0488938,0.0398237,0.0310775,0.025453,3.08196e-07,1.61726e-07,7.80105e-11,4.28196e-07,1.51943e-07,3.17604e-07,4.52961e-10,1.21194e-06,2.45547e-09,4.633e-07,4.24502e-09,6.13246e-06,2.4805e-14,1.91649e-07,2.78351e-07,0.00049953
0.005576,0.0487509,0.0396253,0.0310598,0.0253772,3.05734e-07,1.64186e-07,8.08032e-11,4.25734e-07,1.48528e-07,3.21003e-07,4.68437e-10,1.20853e-06,2.1888e-09,4.63452e-07,4.3587e-09,6.13219e-06,2.43143e-14,1.87858e-07,2.82142e-07,0.00049953
0.0056972,0.04861,0.0394319,0.0310437,0.0253028,3.03305e-07,1.66611e-07,8.36216e-11,4.23305e-07,1.45199e-07,3.24317e-07,4.84032e-10,1.2052e-06,1.95117e-09,4.63576e-07,4.47242e-09,6.13195e-06,2.38334e-14,1.84142e-07,2.85858e-07,0.00049953
0.00581841,0.048471,0.0392433,0.0310292,0.02523,3.0091e-07,1.69004e-07,8.64649e-11,4.2091e-07,1.41953e-07,3.27547e-07,4.99742e-10,1.20195e-06,1.7394e-09,4.63674e-07,4.58615e-09,6.13174e-06,2.33619e-14,1.805e-07,2.895e-07,0.00049953
0.00593961,0.0483339,0.0390594,0.0310159,0.0251586,2.98547e-07,1.71364e-07,8.93322e-11,4.18547e-07,1.38788e-07,3.30696e-07,5.15563e-10,1.19879e-06,1.55067e-09,4.63749e-07,4.6999e-09,6.13155e-06,2.28998e-14,1.76929e-07,2.93071e-07,0.00049953
0.00606081,0.0481986,0.0388801,0.0310039,0.0250886,2.96215e-07,1.73693e-07,9.22229e-11,4.16215e-07,1.35702e-07,3.33767e-07,5.31493e-10,1.1957e-06,1.38249e-09,4.63804e-07,4.81367e-09,6.13138e-06,2.24467e-14,1.73429e-07,2.96571e-07,0.00049953
0.00618201,0.0480651,0.0387052,0.0309929,0.02502,2.93914e-07,1.7599e-07,9.51361e-11,4.13914e-07,1.32692e-07,3.36761e-07,5.47527e-10,1.19269e-06,1.23261e-09,4.6384e-07,4.92744e-09,6.13123e-06,2.2003e-14,1.69999e-07,3.00001e-07,0.00049953
0.00627587,0.047963,0.0385727,0.0309851,0.0249678,2.92154e-07,1.77749e-07,9.74071e-11,4.12154e-07,1.30412e-07,3.39028e-07,5.60013e-10,1.19041e-06,1.12784e-09,4.63857e-07,5.01555e-09,6.13113e-06,2.16653e-14,1.67389e-07,3.02611e-07,0.00049953
0.00635327,0.0478795,0.0384653,0.030979,0.0249253,2.90715e-07,1.79185e-07,9.92895e-11,4.10715e-07,1.28564e-07,3.40866e-07,5.70355e-10,1.18856e-06,1.0482e-09,4.63864e-07,5.08821e-09,6.13105e-06,2.13899e-14,1.65266e-07,3.04734e-07,0.00049953
0.00643068,0.0477967,0.0383596,0.0309733,0.0248834,2.89289e-07,1.8061e-07,1.0118e-10,4.09289e-07,1.26745e-07,3.42674e-07,5.80736e-10,1.18675e-06,9.74216e-10,4.63865e-07,5.16087e-09,6.13097e-06,2.11185e-14,1.63171e-07,3.06829e-07,0.00049953
0.00644322,0.0477834,0.0383426,0.0309724,0.0248767,2.89059e-07,1.80839e-07,1.01488e-10,4.09059e-07,1.26453e-07,3.42964e-07,5.82422e-10,1.18645e-06,9.62728e-10,4.63865e-07,5.17264e-09,6.13096e-06,2.10752e-14,1.62834e-07,3.07166e-07,0.00049953
0.00645577,0.0477701,0.0383257,0.0309715,0.02487,2.88829e-07,1.81069e-07,1.01795e-10,4.08829e-07,1.26162e-07,3.43254e-07,5.8411e-10,1.18616e-06,9.51377e-10,4.63864e-07,5.18442e-09,6.13095e-06,2.10318e-14,1.62498e-07,3.07502e-07,0.00049953
0.00646831,0.0477567,0.0383088,0.0309706,0.0248632,2.886e-07,1.81298e-07,1.02103e-10,4.086e-07,1.25871e-07,3.43543e-07,5.85798e-10,1.18587e-06,9.4016e-10,4.63864e-07,5.1962e-09,6.13094e-06,2.09885e-14,1.62162e-07,3.07838e-07,0.00049953
0.00648086,0.0477435,0.038292,0.0309697,0.0248565,2.88371e-07,1.81527e-07,1.02411e-10,4.08371e-07,1.25582e-07,3.43831e-07,5.87487e-10,1.18558e-06,9.29076e-10,4.63863e-07,5.20797e-09,6.13093e-06,2.09451e-14,1.61827e-07,3.08173e-07,0.00049953
